Codigo;Obra;Detalle;Expediente;Subdelegacion;Zona;Financiamiento;Cauce;CodigoCauce;CodigoCauceAlt;inversion;Tipologia;Metros;Status;Observaciones;Ano;MetrosAvance
170509;24;Entubado Canal Matriz Este;756812;Tunuyán Superior;;Inspección;Matriz Este Unificado;;;2000000;Entubado ;1000;Apta para Ejecución;ESTA PAGADA, expendiente en ICAT desde el 30/08. Una vez finalizada la asamblea de cauces se llama a Licitación.;2017;
170510;25;Refuerzo estructural Sifon Cnl Esquina Tupungato - Cauce aluvional;757519;Tunuyán Superior;;Subdelegación;;;;500000;Reparaciones;-;Etapa Proyecto;Etapa de Proyecto en Dirección de Ingenieria Proyectista Ing Walter Barchiesi. (Refuerzo estructural, se puede realizar fuera de corta). ;2017;
170601;26;Revestimiento Canal Norte;753186;Tunuyán Inferior;;Inspección;Cnl. Norte;;;1500000;H° A° Sección Rectangular;600;Finalizada;-;2017;600
170602;27;Revestimiento Canal Nuevo Gil - Hijuela Nº 2;753447;Tunuyán Inferior;;Inspección;Cnl. Nuevo Gil;;;1000000;H° A° Sección Rectangular;610;Finalizada;-;2017;610
170603;28;Revestimiento Canal Norte Alto Verde + Ampliación;753328;Tunuyán Inferior;;Inspección;Cnl. Norte Alto Verde;;;2500000;H° A° Sección Rectangular;2065;Finalizada;Finalizada, se amplio 70m hasta la sección de aforo.;2017;2075
170604;29;Revestimiento Canal Norte Catitas (Mayorga) + Ampliación;755551;Tunuyán Inferior;;Inspección;Cnl. Norte Catitas;;;1300000;H° A° Trapecial;1037;Finalizada;En etapa de terminaciones.;2017;1037
170605;30;Canal Chacabuco (año 2016);;Tunuyán Inferior;;Inspección;Cnl. Chacabuco - Árboles;;;1396310.4;H° A° Sección Rectangular;730;Finalizada;-;2017;730
170606;31;Canal Montecaseros  Entubamiento Hijuela 3º Salvador Etapa III;752938;Tunuyán Inferior;;Inspección;Cnl. Rama Montecaseros;;;750000;H° A° Rectangular (premoldeado);640;En Ejecución;Construcción de premoldeados. Avance en taller  x semana para una long. de 40 m (canal y tapa). Se terminan los premoldeados el día 30/11 y comienza la colocación en Obra en diciermbre 2017. Desde el 23/06 el Exp. esta en Inspección.;2017;
170608;33;Reparaciones Losas Canal Matriz Reducción + Ampliación ;754762;Tunuyán Inferior;;DGI;Subdelegación;;;1108471;Reparaciones;-;Finalizada;-;2017;
170609;34;Hijuela Los Yoles (años 2016);;Tunuyán Inferior;;Inspección;Cnl. Nuevo Gil;;;752630;H° A° Sección Rectangular;416;Finalizada;Finalizando rellenos laterales.;2017;416
