NumObra,Obra,Subdelegacion,CodigoCauce,CodigoCauceOrig,Ano,Cauce,Inversion,Rubro,Superficie,Beneficiarios,Metros,Modalidad
13,Rev. Hij. Mina De Oro,Mendoza,1922,1922,2020,Naciente Chachingo Unif.,5000000,CIVIL,295,74,750,Lic.
59,C. Centro  3º Tramo,Malargüe,8234,8234,2020, Cañada Colorada,24657950,CIVIL,3471,865,1600,Adm. 
42,C. Cortaderal - Rev. De Un Tramo,Diamante,4058,4058,2020, Santa María del Vencedor,2905000,CIVIL,656,201,310,Adm. 
44,C. Gutierrez - Rev. Entre Calle Quiroga E Hij. 6,Diamante,4066,4066,2020,Unificada de Rama Caída,7205000,CIVIL,1148,282,600,Lic. 
35N,Unif. C. Retamito Hij. Española,Diamante,4903,4903,2020,Colonia Española Unif.,5235000,CIVIL,-,-,910,Lic.
50,Inspección-Matriz Regueira Ampliación Primer Descargador,Atuel,3009,3009,2020, Concesión Regueira,750000,CIVIL,5313,921,20,Adm.
49,Mod. Sistema De Distribución - Primera Etapa (Suelo Cemento),Atuel,3037,3037,2020, Mz. Jáuregui Unif.,1600000,CIVIL,5794,1139,2000,Adm.
52,Rev. 2° Tramo Partición En Rama 3-4-5 Cl Matriz Real Del Padre,Atuel,3077,3077,2020, Real del Padre Unif.,8000000,CIVIL,5464,739,555,Adm.
53,C. Arroyo - Construcción Toma Y Descargador Inspecc. Cl Matriz Correa .,Atuel,,,2020,Correa Unificada,1300000,CIVIL,402,40,Global,Adm.
41,C. Elena - Mod. Sistema De Riego,Diamante,,,2020, Elena,2455000,CIVIL,6898,737,-,Adm. 
39,C. Grande - Mod. Sistema De Riego,Diamante,,,2020, Santa María del Vencedor,3705000,CIVIL,1311,139,-,Adm. 
37,C. Matriz Río Diamante-Reparación Compuertas Tomas C.es Secundarios  - 2ª Etapa ,Diamante,,,2020,Subdelegacion Río Diamante,4435714,ELEC.,71752,38687,Global,Lic. 
48,Construcción 3 Secciones De Aforo Y Sus Casillas: Elena Colomer - Norte Y Centro,Atuel,,,2020, Mz. Babacci Unif.,500000,CIVIL,10800,724,3u,Adm.
54,Construcción Comparto En Calle 5Y1/2 Y Provisión 3 Compuertas,Atuel,,,2020,Rama Centro Viejo,330000,CIVIL,1410,621,Global,Adm.
20,"Dique Tiburcio Benegas - Azud Móvil -Mantenimiento Electromecánico De Compuertas 9, 10 Y 11",T. Inferior,,,2020,Subdelegacion Río Tunuyan Inferior,10000000,ELEC.,66643,14347,Global,Adm. 
18,Dique Tiburcio Benegas - C. Marginal San Martín -Mantenimiento Electromecánico De Tres Compuertas,T. Inferior,,,2020,Subdelegacion Río Tunuyan Inferior,3341250,ELEC.,66643,14347,Global,Adm. 
55,Rev. De Un Tramo En Terraplén,Atuel,3084,3084,2020,Rama Centro Auxiliar,1600000,CIVIL,2808,410,150,Adm.
58,"Hij. 15 ""Larregola"" Rev. De Un Tramo-Hij. Los Campamentos.(Silobolsa)",Atuel,3104,3104,2020,Hij. Los Campamentos,120000,CIVIL,420,56,700,Adm.
56,Rev. De Un Tramo Hij. La Uruguaya -Revest. 1 Tramo -Insp.R Christophersen,Atuel,3105,3105,2020,Rama Christophersen,4250000,CIVIL,1300,45,900,Adm.
57,Imp. Cl Matriz Nuevo Alvear Membrana En Tramo Hij. 4 / Rama 3  Nvo. Alvear. (Silobolsa),Atuel,3143,3143,2020,Rama N° 3 Nuevo Alvear,400000,CIVIL,500,50,3000,Adm.
38,Modif. Comparto Elena - La Llave Vidalino / Construcción De Secciones De Aforo,Diamante,,,2020,Subdelegacion Río Diamante,2635000,CIVIL,71752,38687,Global,Lic.
45,Modif. Y Adecuación De 6 Compartos,Atuel,,,2020, Atuel Sur,770000,CIVIL,10721,861,-,Adm. 
40,Rama La Llave - Mod. Sistema De Riego,Diamante,,,2020, Elena,2455000,CIVIL,3515,215,-,Adm. 
47,Reconstrucción Compartos Hij. 8 Cl Norte Y Sur -Cl Matriz Izuel,Atuel,,,2020,Camal Matriz Izuel,1900000,CIVIL,8695,547,NI,Adm.
36,Rejas C. Marginal Izquierdo Y Adecuación Toma ExC. La Llave,Diamante,,,2020,Subdelegacion Río Diamante,1235000,ELEC./CIVIL,19420,2156,Global,Adm.
19,De Tableros E Instalacion Eléctrica En Compartos,T. Inferior,,,2020,Subdelegacion Río Tunuyan Inferior,5998000,ELEC.,66643,14347,Global,Lic. 
33,Obras De Arte: Toma Y Partidor / Quebrada De Las Casas,T. Superior,,,2020, Mz. Valle de Uco Margen Derecha,3000000,CIVIL,411,12,5u,Adm.
28,Reacondicionamiento De Hojas Partidoras Y Compuerta,T. Superior,,,2020, Mz. Valle de Uco Margen Derecha,2500000,ELEC./CIVIL,11400,850,50u,Lic. 
46,Trabajos De Reparación Y Mantenimiento Novena Etapa - Cl. Marginal Del Atuel,Atuel,,,2020,Subdelegacion Rio Atuel,4000000,CIVIL,81389,8140,18 placas completas,Lic.
43,Unif. C. Cerrito Hij. Pampita,Diamante,,,2020, El Cerrito,3205000,CIVIL,4325,1166,-,Lic. 
51,Unif. Y Mod. Ramas Los Ángeles Lértora,Atuel,,,2020,Rama Moss - Los Angeles Unif.,8000000,CIVIL,2093,334,-,Adm.
